묶음,재료명,빈도,출처,표준명,판정,메모
1,소금,777,농식,,,
1,깨소금,151,농식,,,
1,함초소금,15,식,,,
1,볶은소금,12,식,,,
1,저염소금,5,식,,,
1,굵은소금,4,농식,,,
1,버섯마늘소금,4,식,,,
2,마늘,347,농식,,,
2,다진마늘,282,농식,,,
2,다진 마늘,151,농식,,,
2,마늘다진것,36,식,,,
2,마늘기름,12,식,,,
2,통마늘,11,농식,,,
2,마늘오일,4,식,,,
3,양파,601,농식,,,
3,다진양파,24,농식,,,
3,다진 양파,19,식,,,
3,양파다진것,16,식,,,
3,양파즙,8,농식,,,
3,적양파,8,식,,,
3,깐양파,5,식,,,
4,홍고추,213,농식,,,
4,고추장,130,농식,,,
4,청고추,126,농식,,,
4,청양고추,68,농식,,,
4,풋고추,26,농식,,,
4,붉은 고추,16,농식,,,
4,고추기름,13,농식,,,
4,고추,11,농식,,,
4,실고추,10,농식,,,
4,마른고추,10,농식,,,
4,꽈리고추,7,농식,,,
4,다진홍고추,7,농식,,,
4,고추냉이,5,농식,,,
4,다진청고추,5,농식,,,
4,다진 홍고추,4,식,,,
4,다진 청양고추,4,식,,,
5,간장,341,농식,,,
5,저염간장,108,식,,,
5,진간장,47,농식,,,
5,국간장,43,농식,,,
5,맛간장,32,식,,,
5,저염 간장,10,식,,,
5,어간장,7,식,,,
6,설탕,525,농식,,,
6,황설탕,10,농식,,,
6,흑설탕,4,농식,,,
7,물,415,농식,,,
8,참기름,412,농식,,,
9,후춧가루,388,농식,,,
9,흰후춧가루,9,농식,,,
10,당근,330,농식,,,
10,당근다진것,5,식,,,
11,대파,275,농식,,,
11,다진대파,14,농식,,,
11,다진 대파,6,식,,,
12,식초,259,농식,,,
12,발사믹식초,19,식,,,
12,사과식초,12,식,,,
13,생강,125,농식,,,
13,생강즙,60,농식,,,
13,다진생강,27,농식,,,
13,생강청,19,식,,,
13,다진 생강,10,식,,,
13,생강다진것,9,식,,,
13,생강가루,5,식,,,
14,토마토,141,농식,,,
14,방울토마토,74,농식,,,
14,토마토페이스트,10,농식,,,
14,토마토소스,10,농식,,,
14,홀토마토,6,농식,,,
15,고춧가루,224,농식,,,
15,고운 고춧가루,7,식,,,
15,고운고춧가루,4,농식,,,
16,식용유,234,농식,,,
17,달걀,168,농식,,,
17,달걀흰자,16,식,,,
17,달걀노른자,11,농식,,,
17,달걀물,7,식,,,
17,삶은 달걀,5,식,,,
17,달걀지단,5,식,,,
18,후추,119,농식,,,
18,통후추,45,농식,,,
18,흰후추,40,농식,,,
19,애호박,91,농식,,,
19,단호박,72,농식,,,
19,호박,23,농식,,,
19,호박씨,8,농식,,,
19,호박잎,6,농식,,,
19,미니 단호박,4,식,,,
20,두부,169,농식,,,
20,순두부,12,농식,,,
20,연두부,12,식,,,
20,으깬 두부,5,식,,,
21,레몬즙,96,농식,,,
21,레몬,69,농식,,,
21,레몬주스,11,농식,,,
22,밀가루,168,농식,,,
22,통밀가루,5,식,,,
23,파프리카,103,농식,,,
23,노랑파프리카,9,식,,,
23,황파프리카,8,농식,,,
23,노랑 파프리카,7,식,,,
23,홍파프리카,7,식,,,
23,파프리카가루,7,식,,,
23,빨강 파프리카,6,식,,,
23,적파프리카,5,농식,,,
23,미니파프리카,5,농식,,,
23,노란 파프리카,5,농식,,,
23,삼색파프리카,5,식,,,
24,표고버섯,143,농식,,,
24,건표고버섯,9,식,,,
24,말린표고버섯,5,농,,,
24,표고버섯마른것,5,식,,,
24,마른 표고버섯,4,식,,,
25,버터,133,농식,,,
25,무염버터,10,식,,,
25,땅콩버터,9,농식,,,
25,저염버터,4,식,,,
26,오이,147,농식,,,
27,새우,84,농식,,,
27,새우젓,19,농식,,,
27,칵테일새우,16,농식,,,
27,건새우,16,식,,,
27,새우살,10,농식,,,
28,우유,143,농식,,,
29,무,143,농식,,,
30,감자,123,농식,,,
30,감자전분,10,농식,,,
31,계란,111,농식,,,
31,계란노른자,12,농식,,,
31,계란흰자,4,농,,,
32,양배추,50,농식,,,
32,배추,42,농식,,,
32,배추김치,11,농식,,,
32,알배추,10,식,,,
32,적양배추,9,식,,,
32,배추잎,4,농식,,,
33,다시마,101,농식,,,
33,건다시마,11,식,,,
33,다시마국물,8,농식,,,
34,쇠고기,94,농식,,,
34,다진쇠고기,12,농식,,,
34,쇠고기등심,5,식,,,
34,쇠고기다진것,5,식,,,
34,다진 쇠고기,4,식,,,
35,통깨,115,농식,,,
36,청피망,42,농식,,,
36,피망,42,농식,,,
36,홍피망,31,농식,,,
37,다진파,114,농식,,,
38,올리브오일,107,농식,,,
39,미나리,100,농식,,,
40,깻잎,100,농식,,,
41,올리브유,100,농식,,,
42,된장,76,농식,,,
42,저염된장,15,식,,,
42,미소된장,5,농식,,,
42,일본된장,4,농식,,,
43,꿀,95,농식,,,
44,생크림,94,농식,,,
45,찹쌀가루,59,농식,,,
45,찹쌀,35,농식,,,
46,밥,90,농식,,,
47,돼지고기,80,농식,,,
47,다진 돼지고기,10,식,,,
48,배,86,농식,,,
49,사과,81,농식,,,
49,사과즙,4,농식,,,
50,부추,68,농식,,,
50,영양부추,14,농식,,,
51,양송이버섯,57,농식,,,
51,양송이,21,농식,,,
52,녹말가루,39,농식,,,
52,녹말,32,농식,,,
52,물녹말,6,식,,,
53,실파,76,농식,,,
54,청주,76,농식,,,
55,멸치,43,농식,,,
55,국멸치,11,농식,,,
55,멸치액젓,10,농식,,,
55,잔멸치,8,농식,,,
55,멸치젓,4,농,,,
56,시금치,75,농식,,,
57,육수,52,농식,,,
57,닭육수,23,농식,,,
58,모짜렐라치즈,17,농식,,,
58,치즈,17,농식,,,
58,파마산치즈,17,농식,,,
58,크림치즈,10,농식,,,
58,치즈가루,5,농식,,,
58,슬라이스치즈,4,농식,,,
58,저염치즈,4,식,,,
59,가지,72,농식,,,
60,팽이버섯,67,농식,,,
61,올리고당,67,식,,,
62,오징어,60,농식,,,
62,갑오징어,5,농식,,,
63,양상추,39,농식,,,
63,상추,26,농식,,,
64,파슬리가루,37,농식,,,
