source,source_id,recipe_name,seq,행수,name_raw,이름단위표준명,조리과정근거,표준명후보,확정,분류,사유
nongjeongwon,80,콩나물국밥,10,1,계란,계란,직전에 살짝 구운 김을 비벼 얹고 생계란을 깨뜨려 얹은 다음 깨소금을 뿌린다,,,오탐,생X는 기본형 — 표준명이 바뀌지 않는다
nongjeongwon,68,동치미,2,1,고추,고추,리씩 갓은 1뿌리씩 묶는다. 손질한 청고추는 항아리에 차곡차곡 담아 짭짤하게,청고추,,변경,어휘에 표준명 존재
mfds,737,홍합 쌀옹심이국,12,1,다시마,다시마,"물 1컵 반에 홍합, 국멸치, 건다시마, 양파를 넣고 멸치다시마국물 1컵을",건다시마,,변경,어휘에 표준명 존재
mfds,429,통삼겹스테이크,3,1,로즈마리,로즈마리,"통삼겹에 건로즈마리와 로즈마리, 올리브유를 넣고 마리네",,,변경(어휘신설),건조 구분 대상인데 표준명이 없음
mfds,377,실곤약냉파스타,4,1,바질,바질,져 준 후 올리브 오일에 버무려주고 생 바질은 데친 후 송송 다져준다. 볼에 실,,,오탐,생X는 기본형 — 표준명이 바뀌지 않는다
mfds,1014,밀라노 스타일 포크 커틀렛,5,1,바질,바질,"간을 한다. 파마산치즈, 빵가루, 건바질, 타임을 섞어 허브 빵가루를 만든다",,,변경(어휘신설),건조 구분 대상인데 표준명이 없음
nongjeongwon,378,토마토해산물스파게티,20,1,바질,바질,"가열하고 소금, 후춧가루로 간한 후 말린 바질이 있을 경우 뿌려준다.",,,변경(어휘신설),건조 구분 대상인데 표준명이 없음
mfds,516,해물칼국수,10,1,새우,새우,"말가루를 넣고 반죽을 한다. 냄비에 건새우와 머리와 내장을 제거한 멸치, 다시",건새우,,변경,어휘에 표준명 존재
mfds,3264,돼지고기 포두부 파스타,6,1,새우,새우,")에 납작 썬 마늘, 대파, 양파, 건새우, 후춧가루(0.3Ts)를 넣고 마늘",건새우,,변경,어휘에 표준명 존재
nongjeongwon,333,기스면,6,1,소면,국수,넣어 간을 한다. 물이 팔팔 끓으면 생소면을 넣고 삶는다. 끓어오르기 시작하면,,,오탐,생X는 기본형 — 표준명이 바뀌지 않는다
nongjeongwon,131,육회,1,1,쇠고기,소고기,냉동 쇠고기(우둔살)를 얇게 채썬다. 양념 재료,,,오탐,냉동은 보관 상태 — D-031에서 병합 타당으로 확인
nongjeongwon,436,마늘볶음국수,7,1,숙주,숙주,무린다. ④를 접시에 담고 가니쉬로 생 숙주를 올려서 마무리 한다.,,,오탐,생X는 기본형 — 표준명이 바뀌지 않는다
mfds,602,세 가지 미니 에피타이저,1,1,연어,연어,훈제 연어는 슬라이스로 썰어서 굽는다. 사과는,훈제연어,,변경,어휘에 표준명 존재
mfds,612,해산물 훈제연어롤,1,1,연어,연어,"훈제 연어는 넓게 썬다. 당근, 오이, 파프리",훈제연어,,변경,어휘에 표준명 존재
mfds,659,삼삼한 롤,1,1,연어,연어,훈제연어는 길게 손질한다 아보카도는 길게 채,훈제연어,,변경,어휘에 표준명 존재
mfds,3263,강황 투움바 파스타,4,1,토마토,토마토,생크림과 두유를 넣어 끓어 오르면 말린 토마토를 넣고 1분간 끓인다. 삶은 탈리아,,,변경(어휘신설),건조 구분 대상인데 표준명이 없음
nongjeongwon,153,화양적,2,1,표고버섯,표고버섯,분량에 재웠다가 프라이팬에 익힌다. 마른 표고버섯은 따뜻한 물에 불린 뒤 기둥을 떼어,건표고버섯,,변경,어휘에 표준명 존재
nongjeongwon,168,어묵닭고기조림,3,1,표고버섯,표고버섯,"게 다져 소금, 후춧가루를 넣는다. 말린 표고버섯은 미지근한 물에 불려 기둥을 떼어내",건표고버섯,,변경,어휘에 표준명 존재
nongjeongwon,182,쑥버섯볶음,2,1,표고버섯,표고버섯,마른 표고버섯은 따뜻한 물에 불려 밑둥을 없애고,건표고버섯,,변경,어휘에 표준명 존재
nongjeongwon,282,두부알찜,5,1,표고버섯,표고버섯,운 체에 걸러 알끈 등을 제거한다. 생표고버섯은 기둥을 채썰고 모시조개는 소금물에,,,오탐,생X는 기본형 — 표준명이 바뀌지 않는다
nongjeongwon,318,버섯파스타,2,1,표고버섯,표고버섯,"뒤 ①의 면을 넣고 살짝 볶는다. 생표고버섯은 기둥을 떼낸 후 채썰고, 느타리버",,,오탐,생X는 기본형 — 표준명이 바뀌지 않는다
nongjeongwon,415,고등어튀김케첩조림,3,1,피망,피망,"좋은 크기로 썰어둔다. 양파, 홍/청피망은 채를 썬다. 마늘은 곱게 다지고,",,,판별불가,두 품종을 한 번에 나열 — 단일 배정 불가
