재료명,빈도,출처,표준명후보,규칙,신뢰도,확정
2가지색 미니파프리카,3,식,,,,
가쓰오부시,3,식,,,,
가쓰오브시,3,농,,,,
가자미,3,식,,,,
간 양파,3,식,,,,
계피,3,식,,,,
고구마순,3,식,,,,
곤드레나물,3,식,,,,
골뱅이,3,농식,,,,
국물용멸치,3,농,,,,
굵은 고춧가루,3,식,고춧가루,접두:굵은,A,
굵은고춧가루,3,농,고춧가루,접두:굵은,A,
기름,3,농식,,,,
깐마늘,3,식,마늘,접두:깐,A,
냉면,3,농,,,,
넛맥,3,농식,,,,
녹말물,3,농식,,,,
다시마 육수,3,식,,,,
다시마물,3,식,,,,
다시마육수,3,식,,,,
다진 실파,3,식,실파,접두:다진,A,
다진 호두,3,식,호두,접두:다진,A,
다진돼지고기,3,농식,돼지고기,표기(공백·괄호),A,
닭다리,3,농식,,,,
도미,3,농식,,,,
도미살,3,식,,,,
도토리묵,3,농식,,,,
돌나물,3,식,,,,
동치미국물,3,농식,,,,
동태포,3,식,,,,
두부면,3,식,,,,
들깨,3,농식,,,,
떡,3,농식,,,,
또띠아,3,식,,,,
라임주스,3,식,,,,
라즈베리,3,식,,,,
레드어니언,3,식,,,,
레몬제스트,3,식,,,,
렌틸콩,3,식,,,,
로메인,3,식,,,,
로즈메리,3,식,,,,
마늘종,3,농식,,,,
막걸리,3,식,,,,
머스타드,3,농식,,,,
메밀가루,3,식,,,,
멜론,3,식,,,,
멥쌀가루,3,농식,,,,
멸치 육수,3,식,,,,
멸치육수,3,식,,,,
모차렐라치즈,3,식,,,,
무염 버터,3,식,무염버터,표기(공백·괄호),A,
미향,3,식,,,,
바질마른것,3,식,,,,
베이비채소,3,식,,,,
볶은현미,3,식,현미,접두:볶은,A,
부순 참깨,3,식,,,,
불린미역,3,농식,미역,접두:불린,A,
붉은 파프리카,3,농식,,,,
빨간 파프리카,3,식,파프리카,접두:빨간,B,
사골육수,3,식,,,,
사이다,3,농식,,,,
산마,3,식,,,,
새송이,3,식,,,,
생선살,3,농식,,,,
생표고버섯,3,식,표고버섯,접두:생,B,
서리태,3,식,,,,
소고기 양지,3,식,,,,
소라살,3,식,,,,
소시지,3,식,,,,
송송 썬 붉은 고추,3,식,,,,
쇠고기육수,3,농식,,,,
수박,3,식,,,,
슈가파우더,3,농식,,,,
슈레드 모차렐라치즈,3,식,,,,
시래기,3,농식,,,,
식용 꽃,3,식,식용꽃,표기(공백·괄호),A,
쌈다시마,3,농식,,,,
쌈두부,3,식,,,,
쑥가루,3,식,,,,
아귀,3,농식,,,,
아몬드 슬라이스,3,식,아몬드,표기(공백·괄호),A,
알마늘,3,식,,,,
양,3,농,,,,
양념장,3,농식,,,,
얼음,3,농식,,,,
연유,3,식,,,,
오레가노마른것,3,식,,,,
오이피클,3,농식,,,,
옥수수전분,3,식,,,,
요리술,3,농식,,,,
우거지,3,농,,,,
우리밀가루,3,식,,,,
자두,3,식,,,,
저염국간장,3,식,국간장,접두:저염,A,
저지방우유,3,식,,,,
전분가루,3,식,,,,
조개살,3,농식,조개,접미:살,A,
조갯살,3,농식,,,,
조랭이떡,3,식,,,,
주키니호박,3,식,,,,
주황파프리카,3,식,파프리카,접두:주황,B,
차돌박이,3,식,,,,
천도복숭아,3,식,,,,
청피망다진것,3,식,피망,접미:다진것,A,
청홍고추,3,식,,,,
치즈슬라이스,3,식,,,,
카놀라유,3,식,,,,
카스텔라,3,식,,,,
칵테일 새우,3,식,칵테일새우,표기(공백·괄호),A,
칼국수,3,농,,,,
케이퍼,3,농식,,,,
코코넛밀크,3,식,,,,
토란,3,농식,,,,
통생강,3,농식,,,,
표고버섯가루,3,식,,,,
플레인요구르트,3,농식,요거트,표기(공백·괄호),A,
한천,3,식,,,,
핫소스,3,농,,,,
해물육수,3,식,,,,
해바라기씨,3,식,,,,
해초,3,농식,,,,
해파리,3,농,,,,
홀그레인 머스터드,3,식,,,,
휘핑크림,3,식,,,,
흰 후추,3,식,후추,표기(공백·괄호),A,
흰 후춧가루,3,식,후추,표기(공백·괄호),A,
흰살생선,3,농식,,,,
2가지색 파프리카,2,식,,,,
가루녹차,2,식,,,,
가쓰오브시국물,2,농,,,,
가자미살,2,식,,,,
갈비,2,농,,,,
감식초,2,식,,,,
강력 밀가루,2,식,,,,
거피들깨가루,2,식,,,,
건멸치,2,식,,,,
건목이버섯,2,식,,,,
건블루베리,2,농식,,,,
건조미역줄기,2,식,,,,
건크랜베리,2,식,,,,
검은콩두유,2,식,,,,
겨자잎,2,농,,,,
겨잣가루,2,식,,,,
곱창,2,농,,,,
귤,2,식,,,,
김가루,2,식,,,,
김칫국물,2,농,,,,
깐대파,2,식,대파,접두:깐,A,
깐생강,2,식,생강,접두:깐,A,
깐연근,2,식,연근,접두:깐,A,
깻잎장아찌,2,식,,,,
꼬막,2,식,,,,
꼴뚜기,2,농,,,,
꽃상추,2,농,,,,
낙지다리,2,농식,,,,
냉동 새우살,2,식,새우,접두:냉동,B,
냉이,2,농식,,,,
노두유,2,식,,,,
노란파프리카,2,식,파프리카,표기(공백·괄호),A,
녹차,2,식,,,,
느타리,2,식,,,,
다시멸치,2,식,,,,
다진 당근,2,식,당근,접두:다진,A,
다진 쪽파,2,식,쪽파,접두:다진,A,
다진 토마토,2,식,토마토,접두:다진,A,
다진 파슬리,2,식,파슬리,접두:다진,A,
다진 파프리카,2,식,파프리카,접두:다진,A,
다진고추,2,농,고추,접두:다진,A,
다진쪽파,2,농식,쪽파,접두:다진,A,
다진풋고추,2,농,풋고추,접두:다진,A,
다크초콜릿,2,식,,,,
단감,2,식,,,,
단호박가루,2,식,,,,
닭 육수,2,농식,닭육수,표기(공백·괄호),A,
닭다릿살,2,식,,,,
닭살,2,농식,,,,
닭안심살,2,식,,,,
당귀잎,2,식,,,,
당근퓨레,2,식,,,,
대구,2,농식,,,,
대추고,2,식,,,,
도가니,2,농,,,,
동치미무,2,농,,,,
동태살,2,농식,,,,
돼지고기 등심,2,식,,,,
돼지고기(삼겹살),2,식,,,,
돼지고기다진것,2,식,돼지고기,접미:다진것,A,
돼지고기살코기,2,식,,,,
돼지등갈비,2,농식,,,,
등갈비,2,식,,,,
디존 머스타드,2,식,,,,
땅콩가루,2,농식,,,,
떡국떡,2,농,,,,
라면스프,2,식,,,,
레드와인식초,2,식,,,,
레몬껍질,2,식,,,,
레몬소금,2,식,,,,
레몬주수,2,식,,,,
루콜라,2,농식,,,,
르뱅 발효종,2,식,,,,
리코타 치즈,2,식,,,,
리코타치즈,2,식,,,,
마른 고추,2,식,고추,표기(공백·괄호),A,
마른 미역,2,식,,,,
만가닥버섯,2,식,,,,
말린 자두,2,식,,,,
말린 토마토,2,식,,,,
맛소금,2,농식,,,,
망고퓨레,2,식,,,,
매실장아찌,2,농식,,,,
맥주,2,식,,,,
멕시코고추,2,식,,,,
멸치다시물,2,농,,,,
멸칫국물,2,농,,,,
명란,2,농,,,,
명란젓,2,농식,,,,
무가당 두유,2,식,,,,
무가당 휘핑크림,2,식,,,,
무말랭이,2,농식,,,,
무명실,2,농,,,,
미니새송이버섯,2,농식,새송이버섯,접두:미니,A,
미역마른것,2,식,,,,
바질다진것,2,식,바질,접미:다진것,A,
박력 쌀가루,2,식,,,,
발효초,2,농,,,,
밤고구마,2,식,,,,
백일송이버섯,2,식,,,,
백후추,2,식,,,,
백후춧가루,2,식,,,,
버섯,2,농,,,,
병아리콩,2,식,,,,
보리새우,2,식,,,,
보리쌀,2,식,,,,
복분자,2,식,,,,
복숭아,2,식,,,,
볶은 현미,2,식,현미,접두:볶은,A,
북어채,2,식,,,,
불린 당면,2,식,당면,접두:불린,A,
불린 병아리콩,2,식,,,,
블루베리 발효원종,2,식,,,,
블루베리잼,2,식,,,,
비름나물,2,식,,,,
비타민,2,식,,,,
뽕잎가루,2,식,,,,
사과종,2,식,,,,
삶은 밤고구마,2,식,,,,
삶은 병아리콩,2,식,,,,
삶은달걀,2,식,삶은 달걀,표기(공백·괄호),A,
삼계탕 육수,2,식,,,,
새우가루,2,식,,,,
새우젓국,2,농식,,,,
샐러리다진것,2,식,샐러리,접미:다진것,A,
생 표고버섯,2,식,표고버섯,접두:생,B,
생굴,2,농,,,,
생김,2,식,,,,
생모짜렐라치즈,2,식,모짜렐라치즈,접두:생,B,
생밤,2,농식,,,,
생새우,2,농식,새우,접두:생,B,
생수,2,농식,,,,
생이스트,2,식,생이스트,수기,B,드라이이스트와 동시 등장 2건
생태,2,농,,,,
석류,2,식,,,,
세발나물,2,식,,,,
소라,2,식,,,,
소불고기,2,식,,,,
소스,2,농,,,,
송송 썬 청양고추,2,식,,,,
송이버섯,2,농,,,,
쇠고기 등심,2,식,소고기,표기(공백·괄호),A,
쇠고기 양지,2,식,,,,
쇠고기갈은것,2,식,,,,
