source,source_id,seq,name_raw,표준명,근거
nongjeongwon,1,1,쌀,쌀,그대로
nongjeongwon,1,2,안심,소고기,"조리과정에 ""안심은 불고기 양념하여"" + 양지머리 육수 → 소 부위 통합"
nongjeongwon,1,3,콩나물,콩나물,그대로
nongjeongwon,1,4,청포묵,청포묵,그대로
nongjeongwon,1,5,미나리,미나리,그대로
nongjeongwon,1,6,소금,소금,그대로
nongjeongwon,1,7,국간장,국간장,그대로
nongjeongwon,1,8,다진파,대파,가공 상태 통합. 어휘에 '파' 없어 대파로 배정
nongjeongwon,1,9,다진마늘,마늘,가공 상태 통합
nongjeongwon,1,10,참기름,참기름,그대로
nongjeongwon,1,11,고추장,고추장,그대로
nongjeongwon,1,12,설탕,설탕,그대로
nongjeongwon,1,13,숙주,숙주,그대로
nongjeongwon,1,14,도라지,도라지,그대로
nongjeongwon,1,15,고사리,고사리,그대로
nongjeongwon,1,16,계란,계란,그대로
nongjeongwon,1,17,양지머리,소고기,부위 통합(양지머리)
nongjeongwon,34,1,상추잎,상추,부위 표기 통합(잎)
nongjeongwon,34,2,두부,두부,그대로
nongjeongwon,34,3,깨소금,깨,가공 상태 통합(깨소금)
nongjeongwon,34,4,꿀,꿀,그대로
nongjeongwon,34,5,소금,소금,그대로
nongjeongwon,34,6,레몬즙,레몬,즙→원물 통합(D-033)
nongjeongwon,34,7,연겨자,겨자,표기 통합(연겨자)
nongjeongwon,34,8,적양배추잎,적채,품종 구분 — 적양배추=적채
nongjeongwon,34,9,당근,당근,그대로
nongjeongwon,34,10,파프리카,파프리카,그대로
nongjeongwon,68,1,무,무,그대로
nongjeongwon,68,2,고추,청고추,"조리과정에 ""손질한 청고추는 항아리에 차곡차곡 담아"""
nongjeongwon,68,3,소금,소금,그대로
nongjeongwon,68,4,갓,갓,그대로
nongjeongwon,68,5,실파,실파,그대로
nongjeongwon,68,6,마늘,마늘,그대로
nongjeongwon,68,7,대파,대파,그대로
nongjeongwon,68,8,배주머니,배,"조리과정에 ""주머니에 저며 썬 마늘과 생강, 굵은 파뿌리를 넣고 배를 넣어"""
nongjeongwon,68,9,물,물,그대로
nongjeongwon,101,1,감자,감자,그대로
nongjeongwon,101,2,멸치,멸치,그대로
nongjeongwon,101,3,꽈리고추,꽈리고추,그대로
nongjeongwon,101,4,식용유,식용유,그대로
nongjeongwon,101,5,진간장,진간장,그대로
nongjeongwon,101,6,물엿,물엿,그대로
nongjeongwon,101,7,청주,청주,그대로
nongjeongwon,101,8,깨소금,깨,가공 상태 통합(깨소금)
nongjeongwon,135,1,유부,유부,그대로
nongjeongwon,135,2,계란,계란,그대로
nongjeongwon,135,3,물,물,그대로
nongjeongwon,135,4,간장,간장,그대로
nongjeongwon,135,5,소금,소금,그대로
nongjeongwon,135,6,설탕,설탕,그대로
nongjeongwon,135,7,소금,소금,그대로
nongjeongwon,135,8,후춧가루,후추,가루 표기 통합(D-027)
nongjeongwon,135,9,실파,실파,그대로
nongjeongwon,135,10,맛살,게맛살,표기 통합(맛살)
nongjeongwon,168,1,어묵,어묵,그대로
nongjeongwon,168,2,닭고기,닭고기,그대로
nongjeongwon,168,3,표고버섯,건표고버섯,"조리과정에 ""말린 표고버섯은 미지근한 물에 불려"" → 건조 구분"
nongjeongwon,168,4,오이,오이,그대로
nongjeongwon,168,5,소금,소금,그대로
nongjeongwon,168,6,후춧가루,후추,가루 표기 통합
nongjeongwon,168,7,녹말,녹말,그대로
nongjeongwon,168,8,간장,간장,그대로
nongjeongwon,168,9,청주,청주,그대로
nongjeongwon,168,10,물,물,그대로
nongjeongwon,202,1,쇠고기,소고기,확정 표기(쇠고기→소고기)
nongjeongwon,202,2,무,무,그대로
nongjeongwon,202,3,물,물,그대로
nongjeongwon,202,4,대파,대파,그대로
nongjeongwon,202,5,마늘,마늘,그대로
nongjeongwon,202,6,실파,실파,그대로
nongjeongwon,202,7,국간장,국간장,그대로
nongjeongwon,202,8,진간장,진간장,그대로
nongjeongwon,202,9,다진파,대파,가공 상태 통합. 어휘에 '파' 없어 대파로 배정
nongjeongwon,202,10,다진마늘,마늘,가공 상태 통합
nongjeongwon,202,11,참기름,참기름,그대로
nongjeongwon,202,12,후춧가루,후추,가루 표기 통합
nongjeongwon,202,13,소금,소금,그대로
nongjeongwon,235,1,생태,생태,어휘없음 — 349종에 생태·명태 없음
nongjeongwon,235,2,바지락,바지락,그대로
nongjeongwon,235,3,무,무,그대로
nongjeongwon,235,4,호박,호박,그대로
nongjeongwon,235,5,두부,두부,그대로
nongjeongwon,235,6,팽이버섯,팽이버섯,그대로
nongjeongwon,235,7,미나리,미나리,그대로
nongjeongwon,235,8,청고추,청고추,그대로
nongjeongwon,235,9,홍고추,홍고추,그대로
nongjeongwon,235,10,대파,대파,그대로
nongjeongwon,235,11,멸치다시물,다시물,표기 통합(멸치다시물)
nongjeongwon,235,12,소금,소금,그대로
nongjeongwon,235,13,후춧가루,후추,가루 표기 통합
nongjeongwon,235,14,진간장,진간장,그대로
nongjeongwon,235,15,고춧가루,고춧가루,그대로
nongjeongwon,235,16,다진마늘,마늘,가공 상태 통합
nongjeongwon,235,17,양파즙,양파,즙→원물 통합(D-033)
nongjeongwon,235,18,무즙,무,즙→원물 통합(D-033)
nongjeongwon,269,1,숙주,숙주,그대로
nongjeongwon,269,2,미나리,미나리,그대로
nongjeongwon,269,3,다진파,대파,가공 상태 통합. 어휘에 '파' 없어 대파로 배정
nongjeongwon,269,4,다진마늘,마늘,가공 상태 통합
nongjeongwon,269,5,깨소금,깨,가공 상태 통합(깨소금)
nongjeongwon,269,6,실고추,실고추,어휘없음 — 건조 구분 원칙상 홍고추로 접을 수 없음
nongjeongwon,269,7,참기름,참기름,그대로
nongjeongwon,303,1,깻잎,깻잎,그대로
nongjeongwon,303,2,된장,된장,그대로
nongjeongwon,303,3,소금,소금,그대로
nongjeongwon,336,1,닭살,닭고기,부위 통합(닭살)
nongjeongwon,336,2,닭육수,닭육수,그대로
nongjeongwon,336,3,죽순,죽순,그대로
nongjeongwon,336,4,당근,당근,그대로
nongjeongwon,336,5,실파,실파,그대로
nongjeongwon,336,6,계란,계란,그대로
nongjeongwon,336,7,표고버섯,표고버섯,그대로
nongjeongwon,336,8,소금,소금,그대로
nongjeongwon,336,9,후춧가루,후추,가루 표기 통합
nongjeongwon,336,10,참기름,참기름,그대로
nongjeongwon,336,11,녹말,녹말,그대로
nongjeongwon,370,1,쇠고기,소고기,확정 표기(쇠고기→소고기)
nongjeongwon,370,2,배추,배추,그대로
nongjeongwon,370,3,당근,당근,그대로
nongjeongwon,370,4,무,무,그대로
nongjeongwon,370,5,팽이버섯,팽이버섯,그대로
nongjeongwon,370,6,표고버섯,표고버섯,그대로
nongjeongwon,370,7,두부,두부,그대로
nongjeongwon,370,8,다시마,다시마,그대로
nongjeongwon,370,9,국물용멸치,멸치,용도 수식 제거(국물용)
nongjeongwon,370,10,대파,대파,그대로
nongjeongwon,370,11,가래떡,가래떡,그대로
nongjeongwon,370,12,죽순,죽순,그대로
nongjeongwon,370,13,쑥갓,쑥갓,그대로
nongjeongwon,403,1,밀가루,밀가루,그대로
nongjeongwon,403,2,쇠고기,소고기,확정 표기(쇠고기→소고기)
nongjeongwon,403,3,간장,간장,그대로
nongjeongwon,403,4,설탕,설탕,그대로
nongjeongwon,403,5,참기름,참기름,그대로
nongjeongwon,403,6,깨소금,깨,가공 상태 통합(깨소금)
nongjeongwon,403,7,후춧가루,후추,가루 표기 통합
nongjeongwon,403,8,양파,양파,그대로
nongjeongwon,403,9,튀김기름,식용유,용도 표기 통합(튀김기름)
nongjeongwon,403,10,계란,계란,그대로
nongjeongwon,403,11,치자,치자,그대로
nongjeongwon,403,12,마늘,마늘,그대로
nongjeongwon,403,13,피망,피망,그대로
nongjeongwon,403,14,케첩,토마토케첩,표기 통합(케첩)
nongjeongwon,437,1,쌀국수,쌀국수,그대로
nongjeongwon,437,2,숙주,숙주,그대로
nongjeongwon,437,3,대파,대파,그대로
nongjeongwon,437,4,쇠고기,소고기,확정 표기(쇠고기→소고기)
nongjeongwon,437,5,청고추,청고추,그대로
nongjeongwon,437,6,피시소스,액젓,표기 통합 — 어육 액젓 계열(피시소스)
nongjeongwon,437,7,고수잎,고수잎,어휘없음 — 349종에 고수 없음
nongjeongwon,437,8,소금,소금,그대로
nongjeongwon,437,9,쇠뼈,사골,부위 통합(쇠뼈)
nongjeongwon,437,10,쇠꼬리,소고기,부위 통합(쇠꼬리)
nongjeongwon,437,11,양파,양파,그대로
nongjeongwon,437,12,생강,생강,그대로
nongjeongwon,437,13,팔각,팔각,어휘없음 — 349종에 팔각 없음
nongjeongwon,437,14,정향,정향,그대로
nongjeongwon,437,15,통계피,통계피,그대로
nongjeongwon,470,1,느타리버섯,느타리버섯,그대로
nongjeongwon,470,2,표고버섯,표고버섯,그대로
nongjeongwon,470,3,팽이버섯,팽이버섯,그대로
nongjeongwon,470,4,식용유,식용유,그대로
nongjeongwon,470,5,청피망,피망,표기 통합(청피망)
nongjeongwon,470,6,홍피망,피망,표기 통합(홍피망). 어휘에 피망 색 구분 없음
nongjeongwon,470,7,간장,간장,그대로
